"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 07 02:30:58 GMT 2023","Mon Aug 07 02:30:58 GMT 2023","220","","Links assertion on the home page","","","","validate, link contains Broken Images Editor",""
"passed","Mon Aug 07 02:31:00 GMT 2023","Mon Aug 07 02:31:00 GMT 2023","223","","Links assertion on the home page","","","","validate, link contains Dynamic Controls Editor",""
"passed","Mon Aug 07 02:31:04 GMT 2023","Mon Aug 07 02:31:04 GMT 2023","222","","Links assertion on the home page","","","","validate, link contains JavaScript Alerts Editor",""
"passed","Mon Aug 07 02:31:00 GMT 2023","Mon Aug 07 02:31:01 GMT 2023","219","","Links assertion on the home page","","","","validate, link contains Dynamic Loading Editor",""
"passed","Mon Aug 07 02:31:04 GMT 2023","Mon Aug 07 02:31:04 GMT 2023","222","","Links assertion on the home page","","","","validate, link contains JQuery UI Menus Editor",""
"passed","Mon Aug 07 02:31:00 GMT 2023","Mon Aug 07 02:31:00 GMT 2023","219","","Links assertion on the home page","","","","validate, link contains Dynamic Content Editor",""
"passed","Mon Aug 07 02:31:00 GMT 2023","Mon Aug 07 02:31:00 GMT 2023","263","","Links assertion on the home page","","","","validate, link contains Dropdown Editor",""
"passed","Mon Aug 07 02:31:07 GMT 2023","Mon Aug 07 02:31:08 GMT 2023","241","","Links assertion on the home page","","","","validate, link contains Status Codes Editor",""
"passed","Mon Aug 07 02:30:59 GMT 2023","Mon Aug 07 02:30:59 GMT 2023","259","","Links assertion on the home page","","","","validate, link contains Context Menu Editor",""
"passed","Mon Aug 07 02:30:58 GMT 2023","Mon Aug 07 02:30:58 GMT 2023","233","","Links assertion on the home page","","","","validate, link contains Basic Auth Editor",""
"passed","Mon Aug 07 02:31:03 GMT 2023","Mon Aug 07 02:31:03 GMT 2023","219","","Links assertion on the home page","","","","validate, link contains Hovers Editor",""
"passed","Mon Aug 07 02:31:00 GMT 2023","Mon Aug 07 02:31:00 GMT 2023","224","","Links assertion on the home page","","","","validate, link contains Drag and Drop Editor",""
"passed","Mon Aug 07 02:30:53 GMT 2023","Mon Aug 07 02:30:53 GMT 2023","190","","API end point assertions","","","","fetch list of users",""
"passed","Mon Aug 07 02:30:59 GMT 2023","Mon Aug 07 02:30:59 GMT 2023","238","","Links assertion on the home page","","","","validate, link contains Disappearing Elements Editor",""
"passed","Mon Aug 07 02:31:03 GMT 2023","Mon Aug 07 02:31:04 GMT 2023","214","","Links assertion on the home page","","","","validate, link contains Infinite Scroll Editor",""
"passed","Mon Aug 07 02:31:08 GMT 2023","Mon Aug 07 02:31:08 GMT 2023","287","","Links assertion on the home page","","","","validate, link contains Typos Editor",""
"passed","Mon Aug 07 02:31:02 GMT 2023","Mon Aug 07 02:31:02 GMT 2023","224","","Links assertion on the home page","","","","validate, link contains Form Authentication Editor",""
"passed","Mon Aug 07 02:31:02 GMT 2023","Mon Aug 07 02:31:02 GMT 2023","205","","Links assertion on the home page","","","","validate, link contains Forgot Password Editor",""
"passed","Mon Aug 07 02:30:58 GMT 2023","Mon Aug 07 02:30:59 GMT 2023","235","","Links assertion on the home page","","","","validate, link contains Checkboxes Editor",""
"passed","Mon Aug 07 02:31:03 GMT 2023","Mon Aug 07 02:31:03 GMT 2023","240","","Links assertion on the home page","","","","validate, link contains Geolocation Editor",""
"passed","Mon Aug 07 02:30:59 GMT 2023","Mon Aug 07 02:30:59 GMT 2023","231","","Links assertion on the home page","","","","validate, link contains Digest Authentication Editor",""
"passed","Mon Aug 07 02:30:56 GMT 2023","Mon Aug 07 02:30:57 GMT 2023","1060","","Links assertion on the home page","","","","validate, link contains A/B Testing Editor",""
"passed","Mon Aug 07 02:31:08 GMT 2023","Mon Aug 07 02:31:08 GMT 2023","239","","Links assertion on the home page","","","","validate, link contains WYSIWYG Editor Editor",""
"passed","Mon Aug 07 02:31:02 GMT 2023","Mon Aug 07 02:31:02 GMT 2023","235","","Links assertion on the home page","","","","validate, link contains Floating Menu Editor",""
"passed","Mon Aug 07 02:31:01 GMT 2023","Mon Aug 07 02:31:01 GMT 2023","219","","Links assertion on the home page","","","","validate, link contains File Download Editor",""
"passed","Mon Aug 07 02:31:06 GMT 2023","Mon Aug 07 02:31:06 GMT 2023","229","","Links assertion on the home page","","","","validate, link contains Secure File Download Editor",""
"passed","Mon Aug 07 02:30:58 GMT 2023","Mon Aug 07 02:30:58 GMT 2023","241","","Links assertion on the home page","","","","validate, link contains Challenging DOM Editor",""
"passed","Mon Aug 07 02:31:01 GMT 2023","Mon Aug 07 02:31:02 GMT 2023","227","","Links assertion on the home page","","","","validate, link contains File Upload Editor",""
"passed","Mon Aug 07 02:31:07 GMT 2023","Mon Aug 07 02:31:07 GMT 2023","231","","Links assertion on the home page","","","","validate, link contains Shifting Content Editor",""
"passed","Mon Aug 07 02:31:07 GMT 2023","Mon Aug 07 02:31:07 GMT 2023","224","","Links assertion on the home page","","","","validate, link contains Slow Resources Editor",""
"passed","Mon Aug 07 02:31:05 GMT 2023","Mon Aug 07 02:31:05 GMT 2023","223","","Links assertion on the home page","","","","validate, link contains Key Presses Editor",""
"passed","Mon Aug 07 02:31:05 GMT 2023","Mon Aug 07 02:31:06 GMT 2023","215","","Links assertion on the home page","","","","validate, link contains Nested Frames Editor",""
"passed","Mon Aug 07 02:31:07 GMT 2023","Mon Aug 07 02:31:07 GMT 2023","233","","Links assertion on the home page","","","","validate, link contains Sortable Data Tables Editor",""
"passed","Mon Aug 07 02:31:01 GMT 2023","Mon Aug 07 02:31:01 GMT 2023","233","","Links assertion on the home page","","","","validate, link contains Exit Intent Editor",""
"passed","Mon Aug 07 02:31:04 GMT 2023","Mon Aug 07 02:31:04 GMT 2023","219","","Links assertion on the home page","","","","validate, link contains Inputs Editor",""
"passed","Mon Aug 07 02:31:03 GMT 2023","Mon Aug 07 02:31:03 GMT 2023","291","","Links assertion on the home page","","","","validate, link contains Horizontal Slider Editor",""
"passed","Mon Aug 07 02:31:06 GMT 2023","Mon Aug 07 02:31:07 GMT 2023","223","","Links assertion on the home page","","","","validate, link contains Shadow DOM Editor",""
"passed","Mon Aug 07 02:30:57 GMT 2023","Mon Aug 07 02:30:58 GMT 2023","275","","Links assertion on the home page","","","","validate, link contains Add/Remove Elements Editor",""
"passed","Mon Aug 07 02:31:05 GMT 2023","Mon Aug 07 02:31:05 GMT 2023","226","","Links assertion on the home page","","","","validate, link contains Large & Deep DOM Editor",""
"passed","Mon Aug 07 02:31:02 GMT 2023","Mon Aug 07 02:31:03 GMT 2023","240","","Links assertion on the home page","","","","validate, link contains Frames Editor",""
"passed","Mon Aug 07 02:31:04 GMT 2023","Mon Aug 07 02:31:05 GMT 2023","215","","Links assertion on the home page","","","","validate, link contains JavaScript onload event error Editor",""
"passed","Mon Aug 07 02:31:01 GMT 2023","Mon Aug 07 02:31:01 GMT 2023","246","","Links assertion on the home page","","","","validate, link contains Entry Ad Editor",""
"passed","Mon Aug 07 02:31:06 GMT 2023","Mon Aug 07 02:31:06 GMT 2023","221","","Links assertion on the home page","","","","validate, link contains Redirect Link Editor",""
"passed","Mon Aug 07 02:31:06 GMT 2023","Mon Aug 07 02:31:06 GMT 2023","229","","Links assertion on the home page","","","","validate, link contains Notification Messages Editor",""
"passed","Mon Aug 07 02:31:05 GMT 2023","Mon Aug 07 02:31:05 GMT 2023","229","","Links assertion on the home page","","","","validate, link contains Multiple Windows Editor",""
