"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","195","validate, link contains Challenging DOM Editor","","Thu Oct 02 02:59:45 UTC 2025","passed","Thu Oct 02 02:59:45 UTC 2025","","Links assertion on the home page","",""
"","210","validate, link contains Add/Remove Elements Editor","","Thu Oct 02 02:59:44 UTC 2025","passed","Thu Oct 02 02:59:44 UTC 2025","","Links assertion on the home page","",""
"","187","validate, link contains Hovers Editor","","Thu Oct 02 02:59:49 UTC 2025","passed","Thu Oct 02 02:59:49 UTC 2025","","Links assertion on the home page","",""
"","197","validate, link contains Secure File Download Editor","","Thu Oct 02 02:59:51 UTC 2025","passed","Thu Oct 02 02:59:51 UTC 2025","","Links assertion on the home page","",""
"","192","validate, link contains Status Codes Editor","","Thu Oct 02 02:59:52 UTC 2025","passed","Thu Oct 02 02:59:53 UTC 2025","","Links assertion on the home page","",""
"","181","validate, link contains WYSIWYG Editor Editor","","Thu Oct 02 02:59:53 UTC 2025","passed","Thu Oct 02 02:59:53 UTC 2025","","Links assertion on the home page","",""
"","193","validate, link contains Shadow DOM Editor","","Thu Oct 02 02:59:52 UTC 2025","passed","Thu Oct 02 02:59:52 UTC 2025","","Links assertion on the home page","",""
"","198","validate, link contains Basic Auth Editor","","Thu Oct 02 02:59:44 UTC 2025","passed","Thu Oct 02 02:59:44 UTC 2025","","Links assertion on the home page","",""
"","193","validate, link contains Dynamic Loading Editor","","Thu Oct 02 02:59:47 UTC 2025","passed","Thu Oct 02 02:59:47 UTC 2025","","Links assertion on the home page","",""
"","194","validate, link contains Disappearing Elements Editor","","Thu Oct 02 02:59:46 UTC 2025","passed","Thu Oct 02 02:59:46 UTC 2025","","Links assertion on the home page","",""
"","201","validate, link contains File Upload Editor","","Thu Oct 02 02:59:47 UTC 2025","passed","Thu Oct 02 02:59:48 UTC 2025","","Links assertion on the home page","",""
"","194","validate, link contains Large & Deep DOM Editor","","Thu Oct 02 02:59:50 UTC 2025","passed","Thu Oct 02 02:59:50 UTC 2025","","Links assertion on the home page","",""
"","200","validate, link contains Slow Resources Editor","","Thu Oct 02 02:59:52 UTC 2025","passed","Thu Oct 02 02:59:52 UTC 2025","","Links assertion on the home page","",""
"","225","validate, link contains Redirect Link Editor","","Thu Oct 02 02:59:51 UTC 2025","passed","Thu Oct 02 02:59:51 UTC 2025","","Links assertion on the home page","",""
"","185","validate, link contains Inputs Editor","","Thu Oct 02 02:59:49 UTC 2025","passed","Thu Oct 02 02:59:49 UTC 2025","","Links assertion on the home page","",""
"","187","validate, link contains JavaScript onload event error Editor","","Thu Oct 02 02:59:50 UTC 2025","passed","Thu Oct 02 02:59:50 UTC 2025","","Links assertion on the home page","",""
"","197","validate, link contains Dynamic Content Editor","","Thu Oct 02 02:59:46 UTC 2025","passed","Thu Oct 02 02:59:46 UTC 2025","","Links assertion on the home page","",""
"","184","validate, link contains Typos Editor","","Thu Oct 02 02:59:53 UTC 2025","passed","Thu Oct 02 02:59:53 UTC 2025","","Links assertion on the home page","",""
"","188","validate, link contains JQuery UI Menus Editor","","Thu Oct 02 02:59:49 UTC 2025","passed","Thu Oct 02 02:59:50 UTC 2025","","Links assertion on the home page","",""
"","186","validate, link contains Checkboxes Editor","","Thu Oct 02 02:59:45 UTC 2025","passed","Thu Oct 02 02:59:45 UTC 2025","","Links assertion on the home page","",""
"","191","validate, link contains Key Presses Editor","","Thu Oct 02 02:59:50 UTC 2025","passed","Thu Oct 02 02:59:50 UTC 2025","","Links assertion on the home page","",""
"","187","validate, link contains Context Menu Editor","","Thu Oct 02 02:59:45 UTC 2025","passed","Thu Oct 02 02:59:45 UTC 2025","","Links assertion on the home page","",""
"","193","validate, link contains Frames Editor","","Thu Oct 02 02:59:48 UTC 2025","passed","Thu Oct 02 02:59:48 UTC 2025","","Links assertion on the home page","",""
"","200","validate, link contains Exit Intent Editor","","Thu Oct 02 02:59:47 UTC 2025","passed","Thu Oct 02 02:59:47 UTC 2025","","Links assertion on the home page","",""
"","195","validate, link contains Multiple Windows Editor","","Thu Oct 02 02:59:50 UTC 2025","passed","Thu Oct 02 02:59:51 UTC 2025","","Links assertion on the home page","",""
"","200","validate, link contains Drag and Drop Editor","","Thu Oct 02 02:59:46 UTC 2025","passed","Thu Oct 02 02:59:46 UTC 2025","","Links assertion on the home page","",""
"","190","validate, link contains Floating Menu Editor","","Thu Oct 02 02:59:48 UTC 2025","passed","Thu Oct 02 02:59:48 UTC 2025","","Links assertion on the home page","",""
"","192","validate, link contains Form Authentication Editor","","Thu Oct 02 02:59:48 UTC 2025","passed","Thu Oct 02 02:59:48 UTC 2025","","Links assertion on the home page","",""
"","206","validate, link contains Shifting Content Editor","","Thu Oct 02 02:59:52 UTC 2025","passed","Thu Oct 02 02:59:52 UTC 2025","","Links assertion on the home page","",""
"","190","validate, link contains Notification Messages Editor","","Thu Oct 02 02:59:51 UTC 2025","passed","Thu Oct 02 02:59:51 UTC 2025","","Links assertion on the home page","",""
"","242","validate, link contains Infinite Scroll Editor","","Thu Oct 02 02:59:49 UTC 2025","passed","Thu Oct 02 02:59:49 UTC 2025","","Links assertion on the home page","",""
"","193","validate, link contains Dynamic Controls Editor","","Thu Oct 02 02:59:46 UTC 2025","passed","Thu Oct 02 02:59:47 UTC 2025","","Links assertion on the home page","",""
"","60435","fetch list of users","","Thu Oct 02 02:58:41 UTC 2025","failed","Thu Oct 02 02:59:41 UTC 2025","","API end point assertions","",""
"","1201","validate, link contains A/B Testing Editor","","Thu Oct 02 02:59:43 UTC 2025","passed","Thu Oct 02 02:59:44 UTC 2025","","Links assertion on the home page","",""
"","239","validate, link contains Dropdown Editor","","Thu Oct 02 02:59:46 UTC 2025","passed","Thu Oct 02 02:59:46 UTC 2025","","Links assertion on the home page","",""
"","187","validate, link contains File Download Editor","","Thu Oct 02 02:59:47 UTC 2025","passed","Thu Oct 02 02:59:47 UTC 2025","","Links assertion on the home page","",""
"","193","validate, link contains Forgot Password Editor","","Thu Oct 02 02:59:48 UTC 2025","passed","Thu Oct 02 02:59:48 UTC 2025","","Links assertion on the home page","",""
"","186","validate, link contains Broken Images Editor","","Thu Oct 02 02:59:45 UTC 2025","passed","Thu Oct 02 02:59:45 UTC 2025","","Links assertion on the home page","",""
"","185","validate, link contains JavaScript Alerts Editor","","Thu Oct 02 02:59:50 UTC 2025","passed","Thu Oct 02 02:59:50 UTC 2025","","Links assertion on the home page","",""
"","192","validate, link contains Sortable Data Tables Editor","","Thu Oct 02 02:59:52 UTC 2025","passed","Thu Oct 02 02:59:52 UTC 2025","","Links assertion on the home page","",""
"","193","validate, link contains Horizontal Slider Editor","","Thu Oct 02 02:59:49 UTC 2025","passed","Thu Oct 02 02:59:49 UTC 2025","","Links assertion on the home page","",""
"","190","validate, link contains Geolocation Editor","","Thu Oct 02 02:59:48 UTC 2025","passed","Thu Oct 02 02:59:49 UTC 2025","","Links assertion on the home page","",""
"","206","validate, link contains Digest Authentication Editor","","Thu Oct 02 02:59:45 UTC 2025","passed","Thu Oct 02 02:59:45 UTC 2025","","Links assertion on the home page","",""
"","193","validate, link contains Entry Ad Editor","","Thu Oct 02 02:59:47 UTC 2025","passed","Thu Oct 02 02:59:47 UTC 2025","","Links assertion on the home page","",""
"","191","validate, link contains Nested Frames Editor","","Thu Oct 02 02:59:51 UTC 2025","passed","Thu Oct 02 02:59:51 UTC 2025","","Links assertion on the home page","",""
